stage,RH,direction,best_model,delta_BIC_runner_up,parameters_plus_minus_SE,Avrami_n,component_weights,end_dm_dt,flags
31,60.0,desorption,SE2,1.5343772708606593,M_eq1=-6.4678 ± 0.22; k1=0.15461 ± 0.0015; n1=1.5163 ± 0.034; M_eq2=-0.94225 ± 0.23; k2=0.027049 ± 0.0064; n2=1.0101 ± 0.22,n1=1.516; n2=1.01,w1=0.873; w2=0.127,-0.0002,components_not_interpretable
32,50.0,desorption,HYP_SE,23.07313038095367,M_eq1=-1.3088 ± 0.23; k1=0.069312 ± 0.0087; M_eq2=-3.6873 ± 0.24; k2=0.20997 ± 0.0023; n=1.6189 ± 0.071,1.6189037840360565,w1=0.262; w2=0.738,-0.0003,components_not_interpretable
33,40.0,desorption,HYP_SE,5.758003542347751,M_eq1=-0.66331 ± 0.012; k1=0.035342 ± 0.0051; M_eq2=-2.6065 ± 0.025; k2=0.32857 ± 0.0044; n=1.0367 ± 0.015,1.036666494712822,w1=0.203; w2=0.797,-0.0009,
34,30.0,desorption,HYP_SE,152.7484915645764,M_eq1=-0.81654 ± 0.016; k1=0.07084 ± 0.0034; M_eq2=-1.194 ± 0.021; k2=0.40811 ± 0.0063; n=1.2226 ± 0.025,1.2225953740862594,w1=0.406; w2=0.594,-0.0007,
35,20.0,desorption,SE2,88.61423549541041,M_eq1=-0.60991 ± 0.088; k1=0.32463 ± 0.0094; n1=1.5111 ± 0.17; M_eq2=-0.61159 ± 0.11; k2=0.034147 ± 0.0041; n2=0.72691 ± 0.15,n1=1.511; n2=0.7269,w1=0.499; w2=0.501,-0.0012,poorly_identifiable
36,10.0,desorption,HYP_SE,38.91160907091239,M_eq1=-0.93198 ± 0.022; k1=0.38164 ± 0.02; M_eq2=-0.40137 ± 0.059; k2=0.010588 ± 0.0014; n=0.96831 ± 0.12,0.9683133938911459,w1=0.699; w2=0.301,-0.0017,poorly_identifiable
37,0.0,desorption,HYP_SE,143.57453398915823,M_eq1=-2.3299 ± 0.062; k1=0.031724 ± 0.00091; M_eq2=-2.18 ± 0.063; k2=0.014105 ± 0.00037; n=0.71785 ± 0.014,0.7178498931019036,w1=0.517; w2=0.483,-0.0019,poorly_identifiable
38,10.0,sorption,HYP_SE,9.696332172919028,M_eq1=1.7622 ± 0.28; k1=0.081927 ± 0.0067; M_eq2=1.3195 ± 0.29; k2=0.24366 ± 0.0084; n=1.3821 ± 0.14,1.3821396173108786,w1=0.572; w2=0.428,0.0,components_not_interpretable
39,20.0,sorption,SE2,1.2371101348591083,M_eq1=0.14207 ± 0.048; k1=0.45533 ± 0.039; n1=1.7432 ± 0.56; M_eq2=1.276 ± 0.056; k2=0.056182 ± 0.0025; n2=0.65942 ± 0.03,n1=1.743; n2=0.6594,w1=0.100; w2=0.900,0.0012,poorly_identifiable
40,30.0,sorption,HYP_SE,2.531517506020691,M_eq1=0.35405 ± 0.11; k1=1.4324 ± 0.75; M_eq2=1.2537 ± 0.11; k2=0.03455 ± 0.0025; n=0.79054 ± 0.053,0.790536516930811,w1=0.220; w2=0.780,0.0011,poorly_identifiable; parameter_undetermined
41,40.0,sorption,SE2,30.096848141158148,M_eq1=0.83848 ± 0.03; k1=0.24553 ± 0.01; n1=1.0504 ± 0.023; M_eq2=1.5117 ± 0.031; k2=0.034792 ± 0.00045; n2=1.5662 ± 0.03,n1=1.05; n2=1.566,w1=0.357; w2=0.643,0.0011,poorly_identifiable
42,50.0,sorption,SE2,76.61867898461139,M_eq1=2.2243 ± 0.5; k1=0.23922 ± 0.0073; n1=1.5854 ± 0.1; M_eq2=1.0197 ± 0.51; k2=0.087657 ± 0.029; n2=1.3244 ± 0.37,n1=1.585; n2=1.324,w1=0.686; w2=0.314,0.0006,components_not_interpretable
43,60.0,sorption,SE2,77.07940030735608,M_eq1=3.1184 ± 1.3; k1=0.26171 ± 0.013; n1=1.4951 ± 0.22; M_eq2=1.8236 ± 1.3; k2=0.087285 ± 0.049; n2=1.1556 ± 0.45,n1=1.495; n2=1.156,w1=0.631; w2=0.369,0.0,components_not_interpretable; parameter_undetermined
44,70.0,sorption,SE2,144.51981835373374,M_eq1=6.6556 ± 0.046; k1=0.16617 ± 0.0023; n1=1.1195 ± 0.015; M_eq2=0.63031 ± 0.047; k2=0.026544 ± 0.00064; n2=4 ± 0.5,n1=1.119; n2=4,w1=0.913; w2=0.087,0.0,poorly_identifiable
45,80.0,sorption,SE2,220.31131841716842,M_eq1=5.9284 ± 0.96; k1=0.11171 ± 0.0018; n1=1.9879 ± 0.17; M_eq2=6.4489 ± 0.96; k2=0.041923 ± 0.0047; n2=1.2795 ± 0.12,n1=1.988; n2=1.279,w1=0.479; w2=0.521,-0.0008,components_not_interpretable
46,90.0,sorption,HYP_SE,242.57173521883897,M_eq1=-29.557 ± 3; k1=0.0068075 ± 0.00045; M_eq2=58.675 ± 2.9; k2=0.049332 ± 0.0025; n=0.69502 ± 0.017,0.695022780845756,w1=0.335; w2=0.665,0.0056,truncated; selection_provisional; components_not_interpretable
47,80.0,desorption,SE2,110.29460074381774,M_eq1=-17.178 ± 6.5; k1=0.063932 ± 0.0026; n1=1.7154 ± 0.13; M_eq2=-11.517 ± 6.5; k2=0.029128 ± 0.0088; n2=1.5383 ± 0.42,n1=1.715; n2=1.538,w1=0.599; w2=0.401,-0.0004,components_not_interpretable; parameter_undetermined
48,70.0,desorption,SE2,102.65737396376903,M_eq1=-8.4588 ± 1.9; k1=0.13235 ± 0.0028; n1=1.4455 ± 0.09; M_eq2=-3.8646 ± 1.9; k2=0.051781 ± 0.018; n2=1.1996 ± 0.28,n1=1.446; n2=1.2,w1=0.686; w2=0.314,-0.0012,components_not_interpretable; parameter_undetermined
49,60.0,desorption,SE2,48.82858011437975,M_eq1=-4.8819 ± 1.2; k1=0.20402 ± 0.0034; n1=1.4493 ± 0.12; M_eq2=-2.4286 ± 1.2; k2=0.077987 ± 0.028; n2=1.0967 ± 0.25,n1=1.449; n2=1.097,w1=0.668; w2=0.332,0.0,components_not_interpretable
50,50.0,desorption,SE2,17.876214501625668,M_eq1=-3.7306 ± 0.44; k1=0.22472 ± 0.003; n1=1.647 ± 0.11; M_eq2=-1.1591 ± 0.45; k2=0.06415 ± 0.022; n2=1.0447 ± 0.28,n1=1.647; n2=1.045,w1=0.763; w2=0.237,-0.0008,components_not_interpretable
51,40.0,desorption,HYP_SE,77.30279316234123,M_eq1=-1.4827 ± 0.09; k1=0.08643 ± 0.0039; M_eq2=-1.7906 ± 0.094; k2=0.33766 ± 0.0046; n=1.7372 ± 0.079,1.7371602647002868,w1=0.453; w2=0.547,-0.0012,components_not_interpretable
52,30.0,desorption,HYP_SE,38.58020406623291,M_eq1=-0.89518 ± 0.025; k1=0.085381 ± 0.0044; M_eq2=-1.0253 ± 0.03; k2=0.38356 ± 0.0065; n=1.6712 ± 0.061,1.6711964212808275,w1=0.466; w2=0.534,-0.0017,
53,20.0,desorption,HYP_SE,24.015748989594613,M_eq1=-1.0759 ± 0.0096; k1=0.29165 ± 0.011; M_eq2=-0.10124 ± 0.021; k2=0.016009 ± 0.0016; n=2.6386 ± 0.62,2.6386310804521917,w1=0.914; w2=0.086,-0.0019,
54,10.0,desorption,HYP_SE,66.81194699864386,M_eq1=-0.80223 ± 0.019; k1=0.55082 ± 0.022; M_eq2=-0.48154 ± 0.039; k2=0.013417 ± 0.00085; n=0.81123 ± 0.059,0.8112345116930345,w1=0.625; w2=0.375,-0.0016,poorly_identifiable
55,0.0,desorption,HYP_SE,146.36634604600977,M_eq1=-2.1649 ± 0.05; k1=0.038199 ± 0.00098; M_eq2=-2.3233 ± 0.052; k2=0.015286 ± 0.0003; n=0.72314 ± 0.012,0.7231351411955794,w1=0.482; w2=0.518,-0.0017,poorly_identifiable
